"Holdings","Weighting","Type","Ticker","Style","First Bought","Shares Owned","Shares Change","Sector","Market Value","Price","Day Change","Day high/low","Volume","52-Wk high/low","Country","3-Month Return","1-Year Return","3-Year Return","5-Year Return","Market Cap Mil","Currency","Morningstar Rating","YTD Return","P/E","Maturity Date","Coupon %","Yield to Maturity"
"Ralph Lauren Corp Class A","0.22","EQUITY","RL","Mid Value","2015-03-31","441533","-10491","Consumer Cyclical","32585135","-","-","-","-","-","-","-3.17","-15.89","-18.96","-9.89","6280.52","USD","3","-13.32","-","-","-","-"
"Discovery Communications Inc Class A","0.21","EQUITY","DISCA","Mid Value","2015-03-31","1232241","-44219","Consumer Cyclical","31828785","-","-","-","-","-","-","-10.89","-10.18","-7.96","4.69","8436.15","USD","4","-13.43","12.42","-","-","-"
"Liberty SiriusXM Group A","0.18","EQUITY","LSXMA","Mid Growth","2016-04-30","657810","-82466","Consumer Cyclical","27614864","-","-","-","-","-","-","17.84","28.84","-","-","15288.77","USD","-","27.46","36.65","-","-","-"
"First Data Corp A","0.18","EQUITY","FDC","Mid Core","2017-06-30","1502170","1502170","Industrials","27339494","-","-","-","-","-","-","17.89","44.14","-","-","17075.87","USD","-","30.94","33.18","-","-","-"
"H&R Block Inc","0.17","EQUITY","HRB","Mid Core","2006-09-30","829794","-3409","Consumer Cyclical","25648933","-","-","-","-","-","-","20.55","29.94","0.44","16.55","6290.5","USD","-","32.88","15.35","-","-","-"
"Continental Resources Inc","0.16","EQUITY","CLR","Mid Core","2016-03-31","751583","378403","Energy","24298678","-","-","-","-","-","-","-15.88","-24.25","-23.3","0.32","12625.18","USD","4","-34.71","-","-","-","-"
"Alcoa Corp","0.16","EQUITY","AA","Mid Growth","2016-11-30","737826","-560","Basic Materials","24090019","-","-","-","-","-","-","20.55","-","-","-","6897.99","USD","2","33.26","43.01","-","-","-"
"Assurant Inc","0.15","EQUITY","AIZ","Mid Value","2006-09-30","219485","-2797","Financial Services","22758400","-","-","-","-","-","-","0.96","27.89","19.93","25","5724.79","USD","-","14.15","12.61","-","-","-"
"Avangrid Inc","0.14","EQUITY","AGR","Mid Core","2015-12-31","495176","-5382","Utilities","21862020","-","-","-","-","-","-","6.54","6.2","-","-","14217.33","USD","-","23.74","21.01","-","-","-"
"Westlake Chemical Corp","0.14","EQUITY","WLK","Mid Value","2013-09-30","309461","491","Basic Materials","20489413","-","-","-","-","-","-","15.85","54.47","-6.86","17.77","9030","USD","-","25.65","19.99","-","-","-"
"Nuance Communications Inc","0.13","EQUITY","NUAN","Mid Core","2013-06-30","1152237","-17112","Technology","20060446","-","-","-","-","-","-","-5.92","6.51","-2.5","-4.71","4846.99","USD","-","13.09","-","-","-","-"
"HollyFrontier Corp","0.13","EQUITY","HFC","Mid Value","2012-06-30","710175","-709106","Energy","19508507","-","-","-","-","-","-","18.51","24.37","-8.45","1.87","5412.33","USD","4","-4.79","38.65","-","-","-"
"Avnet Inc","0.13","EQUITY","AVT","Mid Value","2013-12-31","500485","-530017","Technology","19458857","-","-","-","-","-","-","4.29","-3.09","-2.32","5.08","4774.77","USD","3","-19.01","13.22","-","-","-"
"FLIR Systems Inc","0.13","EQUITY","FLIR","Mid Core","2013-06-30","546592","227","Technology","18944879","-","-","-","-","-","-","2.14","20.35","5.35","13.79","5151.69","USD","-","4.59","24.23","-","-","-"
"Mallinckrodt PLC","0.12","EQUITY","MNK","Mid Value","2014-08-31","397784","-440838","Healthcare","17824701","-","-","-","-","-","-","-10.44","-47.95","-16.52","-","4075.2","USD","4","-17.66","22.42","-","-","-"
"Weatherford International PLC","0.1","EQUITY","WFT","Mid Core","2013-06-30","3950200","3870","Energy","15287274","-","-","-","-","-","-","-13.52","-19.29","-42.12","-18.2","4302.3","USD","3","-12.83","-","-","-","-"
"AutoNation Inc","0.08","EQUITY","AN","Small Value","2016-12-31","283847","-282936","Consumer Cyclical","11966990","-","-","-","-","-","-","-1.81","-19.73","-9.78","0.44","3987.44","USD","4","-18.4","9.88","-","-","-"
"Energen Corp","0.06","EQUITY","EGN","Mid Growth","2008-03-31","194594","-194629","Energy","9607106","-","-","-","-","-","-","-0.56","-0.4","-15.28","0.01","4854.56","USD","-","-13.39","54.89","-","-","-"
"Pilgrims Pride Corp","0.06","EQUITY","PPC","Mid Value","2014-09-30","397430","-1604","Consumer Defensive","8711666","-","-","-","-","-","-","2.54","9.23","5.47","49.23","6330.75","USD","4","34.02","12.79","-","-","-"
"Signet Jewelers Ltd","0.06","EQUITY","SIG","Small Value","2017-06-30","137132","137132","Consumer Cyclical","8672228","-","-","-","-","-","-","-4.27","-28.08","-15.11","8.31","4163.66","USD","3","-34.5","9.75","-","-","-"
"Liberty Broadband Corp A","0.06","EQUITY","LBRDA","Mid Core","2016-09-30","100273","2029","Communication Services","8602421","-","-","-","-","-","-","16.26","55.8","-","-","18016.57","USD","-","35.37","-","-","-","-"
"News Corp B","0.03","EQUITY","NWS","Mid Core","2013-09-30","268790","0","Consumer Cyclical","3803379","-","-","-","-","-","-","13.62","12.12","-4.81","-","8311","USD","3","24.58","-","-","-","-"
"Lennar Corp Class B","0.02","EQUITY","LEN.B","Mid Core","2013-06-30","75793","0","Consumer Cyclical","3408411","-","-","-","-","-","-","11.77","28.08","15.49","15.08","12487.53","USD","-","35.94","13.68","-","-","-"
"Viacom Inc Class A","0.01","EQUITY","VIA","Mid Value","2017-06-30","39880","39880","Consumer Cyclical","1517434","-","-","-","-","-","-","-1.98","-22.7","-21.14","-2.61","12483.16","USD","-","-3.12","10.19","-","-","-"
